Date,temperatur_emax(°C),prec_sum (mm),rain_sum (mm)
2018-05-11,23.7,10.10,10.10
2018-05-12,25.2,0.20,0.20
2018-05-13,26.0,0.00,0.00
2018-05-14,21.7,0.00,0.00
2018-05-15,14.6,12.60,12.60
2018-05-16,18.4,2.10,2.10
2018-05-17,16.3,2.30,2.30
2018-05-18,22.3,0.40,0.40
2018-05-19,22.7,0.40,0.40
2018-05-20,23.3,0.30,0.30
2018-05-21,23.3,0.00,0.00
2018-05-22,25.4,1.60,1.60
2018-05-23,26.7,1.90,1.90
2018-05-24,26.4,4.60,4.60
2018-05-25,20.8,16.80,16.80
2018-05-26,26.1,0.00,0.00
2018-05-27,27.5,0.00,0.00
2018-05-28,28.6,0.00,0.00
2018-05-29,28.6,0.20,0.20
2018-05-30,27.1,0.00,0.00
2018-05-31,30.3,0.00,0.00
2018-06-01,29.0,1.90,1.90
2018-06-02,27.9,1.20,1.20
2018-06-03,27.6,0.10,0.10
2018-06-04,28.3,0.30,0.30
2018-06-05,28.7,2.10,2.10
2018-06-06,27.6,12.50,12.50
2018-06-07,24.6,2.00,2.00
2018-06-08,28.7,0.50,0.50
2018-06-09,26.2,1.20,1.20
2018-06-10,29.1,0.50,0.50
2018-06-11,30.5,0.00,0.00
2018-06-12,28.6,0.00,0.00
2018-06-13,24.8,14.10,14.10
2018-06-14,19.4,2.80,2.80
2018-06-15,23.8,0.60,0.60
2018-06-16,26.9,0.00,0.00
2018-06-17,28.6,0.00,0.00
2018-06-18,27.3,0.40,0.40
2018-06-19,29.2,0.00,0.00
2018-06-20,30.6,0.00,0.00
2018-06-21,32.8,2.20,2.20
2018-06-22,19.4,1.00,1.00
2018-06-23,20.3,0.00,0.00
2018-06-24,20.1,0.00,0.00
2018-06-25,21.5,2.60,2.60
2018-06-26,22.9,0.40,0.40
2018-06-27,23.6,3.40,3.40
2018-06-28,24.4,5.50,5.50
2018-06-29,27.5,0.50,0.50
2018-06-30,22.5,0.20,0.20
2018-07-01,21.4,0.00,0.00
2018-07-02,24.7,0.00,0.00
2018-07-03,28.0,0.00,0.00
2018-07-04,30.8,0.00,0.00
2018-07-05,32.0,3.40,3.40
2018-07-06,27.4,7.80,7.80
2018-07-07,27.3,0.00,0.00
2018-07-08,26.6,0.00,0.00
2018-07-09,28.7,0.00,0.00
2018-07-10,27.5,2.70,2.70
2018-07-11,20.8,5.60,5.60
2018-07-12,25.0,0.00,0.00
2018-07-13,27.7,0.00,0.00
2018-07-14,29.1,0.00,0.00
2018-07-15,29.7,0.00,0.00
2018-07-16,28.2,0.70,0.70
2018-07-17,28.0,0.20,0.20
2018-07-18,27.0,0.90,0.90
2018-07-19,29.7,1.10,1.10
2018-07-20,28.8,0.00,0.00
2018-07-21,30.7,10.20,10.20
2018-07-22,23.1,19.20,19.20
2018-07-23,28.5,4.90,4.90
2018-07-24,29.8,0.00,0.00
2018-07-25,29.5,0.10,0.10
2018-07-26,29.6,1.20,1.20
2018-07-27,30.5,0.60,0.60
2018-07-28,30.5,0.20,0.20
2018-07-29,32.7,0.00,0.00
2018-07-30,33.8,0.00,0.00
2018-07-31,33.9,0.10,0.10
2018-08-01,31.3,2.40,2.40
2018-08-02,30.8,0.60,0.60
2018-08-03,33.0,0.30,0.30
2018-08-04,33.3,0.20,0.20
2018-08-05,34.1,2.30,2.30
2018-08-06,31.7,0.00,0.00
2018-08-07,31.9,0.00,0.00
2018-08-08,34.7,0.00,0.00
2018-08-09,35.4,0.20,0.20
2018-08-10,31.2,2.10,2.10
2018-08-11,27.4,4.10,4.10
2018-08-12,29.5,0.00,0.00
2018-08-13,32.4,0.00,0.00
2018-08-14,27.1,4.70,4.70
2018-08-15,28.0,0.00,0.00
2018-08-16,29.2,0.00,0.00
2018-08-17,30.3,0.00,0.00
2018-08-18,32.0,0.00,0.00
2018-08-19,33.3,0.00,0.00
2018-08-20,33.9,0.00,0.00
2018-08-21,32.1,0.00,0.00
2018-08-22,32.5,0.00,0.00
2018-08-23,33.5,0.60,0.60
2018-08-24,28.1,7.30,7.30
2018-08-25,20.4,3.20,3.20
2018-08-26,18.4,12.50,12.50
2018-08-27,23.1,0.00,0.00
2018-08-28,26.8,0.00,0.00
2018-08-29,28.1,0.00,0.00
2018-08-30,27.9,0.30,0.30
2018-08-31,25.4,1.10,1.10
2018-09-01,20.8,28.00,28.00
2018-09-02,21.1,25.60,25.60
2018-09-03,22.2,18.10,18.10
2018-09-04,22.2,12.30,12.30
2018-09-05,25.6,0.00,0.00
2018-09-06,25.1,0.00,0.00
2018-09-07,25.5,0.00,0.00
2018-09-08,24.8,0.00,0.00
2018-09-09,25.0,0.00,0.00
2018-09-10,26.1,0.00,0.00
2018-09-11,28.1,0.30,0.30
2018-09-12,29.0,0.00,0.00
2018-09-13,28.1,0.10,0.10
2018-09-14,23.3,2.00,2.00
2018-09-15,23.4,0.00,0.00
2018-09-16,23.3,0.00,0.00
2018-09-17,26.0,0.00,0.00
2018-09-18,27.0,0.00,0.00
2018-09-19,25.9,0.00,0.00
2018-09-20,27.3,0.00,0.00
2018-09-21,28.0,0.00,0.00
2018-09-22,19.2,2.40,2.40
2018-09-23,17.3,0.30,0.30
2018-09-24,16.9,3.50,3.50
2018-09-25,13.0,0.00,0.00
2018-09-26,15.5,0.00,0.00
2018-09-27,20.7,0.00,0.00
2018-09-28,23.3,0.00,0.00
2018-09-29,15.9,0.00,0.00
2018-09-30,16.6,0.00,0.00
2018-10-01,15.8,0.00,0.00
2018-10-02,13.2,0.00,0.00
2018-10-03,16.5,0.00,0.00
2018-10-04,17.1,0.00,0.00
2018-10-05,19.6,0.00,0.00
2018-10-06,22.7,0.00,0.00
2018-10-07,21.1,2.70,2.70
2018-10-08,20.7,0.10,0.10
2018-10-09,22.3,0.00,0.00
2018-10-10,23.0,0.00,0.00
2018-10-11,23.7,0.00,0.00
2018-10-12,22.6,0.00,0.00
2018-10-13,22.3,0.00,0.00
2018-10-14,22.0,0.00,0.00
2018-10-15,19.7,0.00,0.00
2018-10-16,20.1,0.00,0.00
2018-10-17,19.5,0.40,0.40
2018-10-18,19.8,0.00,0.00
2018-10-19,19.2,0.00,0.00
2018-10-20,17.5,0.00,0.00
2018-10-21,12.0,0.00,0.00
2018-10-22,14.6,0.00,0.00
2018-10-23,13.4,0.00,0.00
2018-10-24,12.9,6.50,6.50
2018-10-25,16.9,0.70,0.70
2018-10-26,15.7,0.00,0.00
2018-10-27,11.0,1.80,1.80
2018-10-28,15.8,4.60,4.60
2018-10-29,20.5,0.10,0.10
2018-10-30,19.2,1.60,1.60
2018-10-31,18.4,0.00,0.00
2018-11-01,17.9,1.50,1.50
2018-11-02,18.8,3.20,3.20
2018-11-03,15.0,2.10,2.10
2018-11-04,15.5,0.00,0.00
2018-11-05,15.0,0.00,0.00
2018-11-06,16.9,0.00,0.00
2018-11-07,15.1,0.00,0.00
2018-11-08,12.8,0.00,0.00
2018-11-09,13.0,0.00,0.00
2018-11-10,11.3,0.00,0.00
2018-11-11,12.7,0.00,0.00
2018-11-12,13.6,0.00,0.00
2018-11-13,11.0,0.00,0.00
2018-11-14,12.8,0.00,0.00
2018-11-15,11.5,0.00,0.00
2018-11-16,10.2,0.00,0.00
2018-11-17,7.4,0.00,0.00
2018-11-18,5.0,0.00,0.00
2018-11-19,3.3,0.80,0.40
2018-11-20,3.7,3.60,2.60
2018-11-21,6.1,0.00,0.00
2018-11-22,5.3,0.40,0.40
2018-11-23,6.6,0.00,0.00
2018-11-24,6.9,2.10,2.10
2018-11-25,6.7,3.00,3.00
2018-11-26,6.9,16.20,16.20
2018-11-27,3.3,4.30,1.20
2018-11-28,4.4,0.00,0.00
2018-11-29,0.9,0.00,0.00
2018-11-30,-0.2,0.00,0.00
2018-12-01,-1.1,1.30,0.00
2018-12-02,1.7,1.40,1.40
2018-12-03,2.9,9.80,9.80
2018-12-04,11.4,4.80,4.80
2018-12-05,5.9,0.00,0.00
2018-12-06,2.9,0.00,0.00
2018-12-07,5.7,0.00,0.00
2018-12-08,8.7,7.60,7.60
2018-12-09,9.0,5.20,5.20
2018-12-10,7.5,0.50,0.50
2018-12-11,4.5,5.10,4.40
2018-12-12,3.4,2.30,1.40
2018-12-13,-0.3,0.00,0.00
2018-12-14,-0.8,0.00,0.00
2018-12-15,-0.1,3.00,0.00
2018-12-16,-0.3,0.00,0.00
2018-12-17,-0.0,0.00,0.00
2018-12-18,3.6,0.00,0.00
2018-12-19,2.5,0.00,0.00
2018-12-20,-1.9,1.80,0.00
2018-12-21,1.7,0.00,0.00
2018-12-22,10.5,4.30,4.30
2018-12-23,9.8,3.70,3.70
2018-12-24,6.4,16.50,16.50
2018-12-25,4.6,0.10,0.10
2018-12-26,5.7,0.00,0.00
2018-12-27,8.5,0.60,0.60
2018-12-28,8.6,0.50,0.50
2018-12-29,6.4,0.00,0.00
2018-12-30,5.5,3.00,3.00
2018-12-31,6.4,0.50,0.50
2019-01-01,7.3,0.80,0.80
2019-01-02,5.1,1.40,0.90
2019-01-03,-0.0,0.90,0.00
2019-01-04,0.3,2.90,0.00
2019-01-05,3.4,10.20,3.90
2019-01-06,2.6,0.50,0.00
2019-01-07,-0.0,0.20,0.00
2019-01-08,2.8,7.10,1.70
2019-01-09,2.9,1.30,0.90
2019-01-10,2.1,0.00,0.00
2019-01-11,0.8,0.70,0.00
2019-01-12,4.3,1.20,0.20
2019-01-13,6.8,8.50,8.50
2019-01-14,6.0,0.60,0.60
2019-01-15,5.4,0.70,0.20
2019-01-16,7.4,0.10,0.10
2019-01-17,9.1,0.00,0.00
2019-01-18,6.1,0.20,0.20
2019-01-19,0.2,0.00,0.00
2019-01-20,1.2,0.00,0.00
2019-01-21,0.7,0.00,0.00
2019-01-22,-3.1,0.00,0.00
2019-01-23,-2.5,1.10,0.00
2019-01-24,-1.4,0.00,0.00
2019-01-25,-0.1,0.00,0.00
2019-01-26,2.4,2.90,2.60
2019-01-27,2.4,0.30,0.30
2019-01-28,2.9,7.00,1.50
2019-01-29,4.0,0.00,0.00
2019-01-30,1.2,0.00,0.00
2019-01-31,0.0,0.00,0.00
2019-02-01,5.6,0.00,0.00
2019-02-02,12.8,2.10,2.10
2019-02-03,8.7,3.80,3.60
2019-02-04,3.8,0.00,0.00
2019-02-05,3.3,0.00,0.00
2019-02-06,3.4,0.00,0.00
2019-02-07,4.7,0.00,0.00
2019-02-08,8.1,0.00,0.00
2019-02-09,6.4,0.00,0.00
2019-02-10,7.3,0.00,0.00
2019-02-11,7.9,2.40,2.40
2019-02-12,4.5,0.30,0.30
2019-02-13,7.5,0.10,0.10
2019-02-14,9.9,0.00,0.00
2019-02-15,10.5,0.00,0.00
2019-02-16,11.5,0.00,0.00
2019-02-17,11.6,0.00,0.00
2019-02-18,11.5,0.00,0.00
2019-02-19,13.6,0.00,0.00
2019-02-20,11.1,0.00,0.00
2019-02-21,13.1,0.60,0.60
2019-02-22,9.3,4.30,4.30
2019-02-23,1.8,0.00,0.00
2019-02-24,2.8,0.00,0.00
2019-02-25,12.9,0.00,0.00
2019-02-26,15.1,0.00,0.00
2019-02-27,13.7,0.00,0.00
2019-02-28,19.1,0.00,0.00
2019-03-01,13.0,0.60,0.60
2019-03-02,8.7,1.00,1.00
2019-03-03,14.2,0.30,0.30
2019-03-04,17.4,0.00,0.00
2019-03-05,12.0,0.60,0.60
2019-03-06,13.3,0.10,0.10
2019-03-07,19.6,0.00,0.00
2019-03-08,14.6,0.00,0.00
2019-03-09,13.6,1.30,1.30
2019-03-10,13.4,2.80,2.80
2019-03-11,12.4,0.80,0.80
2019-03-12,8.9,0.20,0.20
2019-03-13,9.7,0.00,0.00
2019-03-14,11.4,2.50,2.50
2019-03-15,11.3,7.50,7.50
2019-03-16,11.4,4.70,4.70
2019-03-17,19.6,0.00,0.00
2019-03-18,11.1,0.70,0.70
2019-03-19,9.3,0.00,0.00
2019-03-20,9.4,0.00,0.00
2019-03-21,13.8,0.00,0.00
2019-03-22,18.6,0.00,0.00
2019-03-23,19.2,0.00,0.00
2019-03-24,19.4,0.00,0.00
2019-03-25,12.3,1.80,1.80
2019-03-26,10.5,0.00,0.00
2019-03-27,10.1,0.00,0.00
2019-03-28,13.5,0.50,0.50
2019-03-29,14.9,0.00,0.00
2019-03-30,18.0,0.00,0.00
2019-03-31,20.1,0.00,0.00
2019-04-01,17.0,0.00,0.00
2019-04-02,18.4,0.00,0.00
2019-04-03,18.4,0.90,0.90
2019-04-04,18.0,0.00,0.00
2019-04-05,17.8,3.70,3.70
2019-04-06,13.6,6.80,6.80
2019-04-07,17.7,0.00,0.00
2019-04-08,20.2,0.00,0.00
2019-04-09,20.4,0.30,0.30
2019-04-10,12.3,6.90,6.90
2019-04-11,10.4,1.20,1.20
2019-04-12,10.1,0.00,0.00
2019-04-13,8.1,0.00,0.00
2019-04-14,12.3,2.20,2.20
2019-04-15,16.3,0.00,0.00
2019-04-16,16.5,0.00,0.00
2019-04-17,17.5,0.00,0.00
2019-04-18,20.0,0.00,0.00
2019-04-19,22.8,0.00,0.00
2019-04-20,22.1,0.00,0.00
2019-04-21,21.5,0.00,0.00
2019-04-22,21.3,0.10,0.10
2019-04-23,13.6,2.40,2.40
2019-04-24,22.6,0.20,0.20
2019-04-25,26.4,0.00,0.00
2019-04-26,25.8,0.60,0.60
2019-04-27,16.5,0.00,0.00
2019-04-28,16.6,0.00,0.00
2019-04-29,11.7,3.30,3.30
2019-04-30,13.8,6.10,6.10
2019-05-01,19.4,0.00,0.00
2019-05-02,22.0,0.00,0.00
2019-05-03,15.2,1.90,1.90
2019-05-04,14.2,0.50,0.50
2019-05-05,8.9,8.00,8.00
2019-05-06,10.7,1.60,1.60
2019-05-07,13.6,0.00,0.00
2019-05-08,18.5,0.00,0.00
2019-05-09,14.4,7.60,7.60
2019-05-10,19.2,0.00,0.00
2019-05-11,20.6,10.30,10.30
2019-05-12,14.2,5.70,5.70
2019-05-13,12.6,0.00,0.00
2019-05-14,9.0,2.40,2.40
2019-05-15,8.9,7.20,7.20
2019-05-16,12.9,3.80,3.80
2019-05-17,16.0,0.00,0.00
2019-05-18,20.4,0.00,0.00
2019-05-19,21.0,0.60,0.60
2019-05-20,19.3,11.30,11.30
2019-05-21,18.1,0.00,0.00
2019-05-22,14.8,20.00,20.00
2019-05-23,15.4,0.70,0.70
2019-05-24,21.5,0.00,0.00
2019-05-25,23.8,0.00,0.00
2019-05-26,24.4,0.20,0.20
2019-05-27,21.7,5.40,5.40
2019-05-28,18.2,12.30,12.30
2019-05-29,15.6,5.20,5.20
2019-05-30,13.5,9.30,9.30
2019-05-31,22.4,0.00,0.00
2019-06-01,25.5,0.10,0.10
2019-06-02,27.5,0.60,0.60
2019-06-03,28.2,0.00,0.00
2019-06-04,27.8,0.30,0.30
2019-06-05,28.0,2.20,2.20
2019-06-06,23.7,2.70,2.70
2019-06-07,26.1,4.40,4.40
2019-06-08,24.2,0.00,0.00
2019-06-09,27.6,0.10,0.10
2019-06-10,30.5,0.00,0.00
2019-06-11,31.1,0.30,0.30
2019-06-12,31.0,0.00,0.00
2019-06-13,32.6,0.00,0.00
2019-06-14,32.6,0.00,0.00
2019-06-15,33.2,2.50,2.50
2019-06-16,26.9,3.80,3.80
2019-06-17,26.9,0.40,0.40
2019-06-18,29.4,0.00,0.00
2019-06-19,28.6,9.20,9.20
2019-06-20,28.2,2.10,2.10
2019-06-21,28.8,1.10,1.10
2019-06-22,25.1,17.80,17.80
2019-06-23,22.6,18.40,18.40
2019-06-24,29.7,0.20,0.20
2019-06-25,31.4,0.00,0.00
2019-06-26,34.0,0.00,0.00
2019-06-27,34.0,0.00,0.00
2019-06-28,27.2,0.00,0.00
2019-06-29,29.0,0.00,0.00
2019-06-30,33.9,0.00,0.00
2019-07-01,36.8,3.10,3.10
2019-07-02,27.5,0.60,0.60
2019-07-03,26.3,0.00,0.00
2019-07-04,27.2,0.00,0.00
2019-07-05,29.0,0.00,0.00
2019-07-06,33.9,0.00,0.00
2019-07-07,28.7,3.40,3.40
2019-07-08,23.6,0.00,0.00
2019-07-09,22.8,0.00,0.00
2019-07-10,22.5,0.00,0.00
2019-07-11,25.9,0.00,0.00
2019-07-12,22.3,5.40,5.40
2019-07-13,21.5,10.10,10.10
2019-07-14,23.7,1.90,1.90
2019-07-15,25.0,0.00,0.00
2019-07-16,26.8,0.30,0.30
2019-07-17,26.6,0.00,0.00
2019-07-18,27.2,1.90,1.90
2019-07-19,28.9,0.70,0.70
2019-07-20,32.0,0.00,0.00
2019-07-21,27.8,1.60,1.60
2019-07-22,30.2,0.00,0.00
2019-07-23,32.1,0.00,0.00
2019-07-24,32.6,0.00,0.00
2019-07-25,34.2,0.00,0.00
2019-07-26,35.0,8.40,8.40
2019-07-27,23.2,6.40,6.40
2019-07-28,27.8,9.60,9.60
2019-07-29,29.5,6.40,6.40
2019-07-30,28.6,1.10,1.10
2019-07-31,30.7,2.40,2.40
2019-08-01,28.4,0.00,0.00
2019-08-02,24.8,3.70,3.70
2019-08-03,23.8,3.40,3.40
2019-08-04,26.3,0.00,0.00
2019-08-05,29.6,0.50,0.50
2019-08-06,29.1,0.00,0.00
2019-08-07,31.7,10.50,10.50
2019-08-08,27.4,0.30,0.30
2019-08-09,31.0,0.00,0.00
2019-08-10,33.0,4.20,4.20
2019-08-11,28.5,1.80,1.80
2019-08-12,30.4,0.00,0.00
2019-08-13,24.2,3.50,3.50
2019-08-14,23.2,0.10,0.10
2019-08-15,25.3,0.00,0.00
2019-08-16,23.3,2.70,2.70
2019-08-17,26.8,0.00,0.00
2019-08-18,32.9,0.00,0.00
2019-08-19,31.4,0.00,0.00
2019-08-20,31.3,0.00,0.00
2019-08-21,23.4,0.40,0.40
2019-08-22,24.2,5.40,5.40
2019-08-23,29.0,1.80,1.80
2019-08-24,30.9,3.30,3.30
2019-08-25,26.5,5.80,5.80
2019-08-26,27.0,6.90,6.90
2019-08-27,30.5,0.90,0.90
2019-08-28,30.6,0.00,0.00
2019-08-29,32.1,4.30,4.30
2019-08-30,31.1,0.00,0.00
2019-08-31,31.9,0.10,0.10
2019-09-01,31.3,3.70,3.70
2019-09-02,21.8,4.20,4.20
2019-09-03,22.5,1.70,1.70
2019-09-04,24.4,0.00,0.00
2019-09-05,27.2,0.00,0.00
2019-09-06,21.7,5.50,5.50
2019-09-07,17.6,7.00,7.00
2019-09-08,19.5,2.80,2.80
2019-09-09,17.6,13.60,13.60
2019-09-10,21.5,0.30,0.30
2019-09-11,23.7,0.00,0.00
2019-09-12,24.6,0.00,0.00
2019-09-13,25.7,0.00,0.00
2019-09-14,22.2,0.00,0.00
2019-09-15,23.5,0.00,0.00
2019-09-16,26.2,0.00,0.00
2019-09-17,19.0,0.00,0.00
2019-09-18,18.0,0.00,0.00
2019-09-19,16.8,0.00,0.00
2019-09-20,17.5,0.00,0.00
2019-09-21,19.9,0.00,0.00
2019-09-22,21.5,0.00,0.00
2019-09-23,20.7,0.00,0.00
2019-09-24,22.4,0.00,0.00
2019-09-25,21.0,0.00,0.00
2019-09-26,20.8,0.00,0.00
2019-09-27,23.6,2.10,2.10
2019-09-28,17.6,3.10,3.10
2019-09-29,23.1,0.00,0.00
2019-09-30,23.2,0.60,0.60
2019-10-01,24.5,0.00,0.00
2019-10-02,18.1,4.80,4.80
2019-10-03,12.7,0.00,0.00
2019-10-04,15.3,0.70,0.70
2019-10-05,13.7,11.20,11.20
2019-10-06,12.1,0.00,0.00
2019-10-07,12.1,0.00,0.00
2019-10-08,14.8,1.10,1.10
2019-10-09,16.0,4.40,4.40
2019-10-10,17.9,0.30,0.30
2019-10-11,19.5,0.00,0.00
2019-10-12,16.2,0.00,0.00
2019-10-13,17.4,0.00,0.00
2019-10-14,20.8,0.00,0.00
2019-10-15,22.1,0.00,0.00
2019-10-16,17.2,1.10,1.10
2019-10-17,18.7,0.00,0.00
2019-10-18,15.4,0.00,0.00
2019-10-19,16.4,0.00,0.00
2019-10-20,21.7,0.00,0.00
2019-10-21,22.7,0.00,0.00
2019-10-22,21.2,0.00,0.00
2019-10-23,22.7,0.00,0.00
2019-10-24,24.9,0.00,0.00
2019-10-25,20.3,0.00,0.00
2019-10-26,20.3,0.00,0.00
2019-10-27,21.1,0.00,0.00
2019-10-28,11.5,0.90,0.90
2019-10-29,10.2,0.90,0.90
2019-10-30,9.4,0.00,0.00
2019-10-31,7.2,0.00,0.00
2019-11-01,9.6,0.00,0.00
2019-11-02,11.2,0.00,0.00
2019-11-03,18.9,0.00,0.00
2019-11-04,16.2,8.40,8.40
2019-11-05,10.2,10.70,10.70
2019-11-06,14.0,2.90,2.90
2019-11-07,11.7,1.20,1.20
2019-11-08,12.9,0.30,0.30
2019-11-09,10.6,5.90,5.90
2019-11-10,8.0,0.00,0.00
2019-11-11,8.9,0.00,0.00
2019-11-12,8.8,12.40,12.40
2019-11-13,6.9,10.20,10.20
2019-11-14,8.8,0.00,0.00
2019-11-15,11.5,0.00,0.00
2019-11-16,13.6,4.00,4.00
2019-11-17,14.9,0.90,0.90
2019-11-18,13.0,0.50,0.50
2019-11-19,12.4,0.00,0.00
